,number_of_vehicle_parked,power_demand
2017-07-28 07:00:00,16488.0,0.033582615699
2017-07-28 07:01:00,16478.0,0.033582615699
2017-07-28 07:02:00,16481.0,0.033582615699
2017-07-28 07:03:00,16487.0,0.033582615699
2017-07-28 07:04:00,16491.0,0.039882615699
2017-07-28 07:05:00,16539.0,0.0244152516976
2017-07-28 07:06:00,16529.0,0.0244152516976
2017-07-28 07:07:00,16521.0,0.0193874237834
2017-07-28 07:08:00,16542.0,0.0193874237834
2017-07-28 07:09:00,16549.0,0.0193874237834
2017-07-28 07:10:00,16520.0,0.0063
2017-07-28 07:11:00,16496.0,0.0063
2017-07-28 07:12:00,16506.0,0.0063
2017-07-28 07:13:00,16507.0,0.0063
2017-07-28 07:14:00,16507.0,0.0
2017-07-28 07:15:00,16323.0,0.0056008983702
2017-07-28 07:16:00,16316.0,0.0056008983702
2017-07-28 07:17:00,16319.0,0.0056008983702
2017-07-28 07:18:00,16324.0,0.0056008983702
2017-07-28 07:19:00,16318.0,0.0056008983702
2017-07-28 07:20:00,16344.0,0.0056008983702
2017-07-28 07:21:00,16327.0,0.0056008983702
2017-07-28 07:22:00,16339.0,0.0056008983702
2017-07-28 07:23:00,16357.0,0.0056008983702
2017-07-28 07:24:00,16359.0,0.0056008983702
2017-07-28 07:25:00,16390.0,0.0
2017-07-28 07:26:00,16378.0,0.0
2017-07-28 07:27:00,16387.0,0.0
2017-07-28 07:28:00,16399.0,0.0
2017-07-28 07:29:00,16409.0,0.0
2017-07-28 07:30:00,15971.0,0.00686696757898
2017-07-28 07:31:00,15961.0,0.00686696757898
2017-07-28 07:32:00,15971.0,0.00686696757898
2017-07-28 07:33:00,15970.0,0.00686696757898
2017-07-28 07:34:00,15975.0,0.00686696757898
2017-07-28 07:35:00,16015.0,0.00686696757898
2017-07-28 07:36:00,16000.0,0.00686696757898
2017-07-28 07:37:00,15993.0,0.013166967579
2017-07-28 07:38:00,16005.0,0.013166967579
2017-07-28 07:39:00,16007.0,0.013166967579
2017-07-28 07:40:00,15977.0,0.0063
2017-07-28 07:41:00,15965.0,0.0063
2017-07-28 07:42:00,15978.0,0.0063
2017-07-28 07:43:00,15977.0,0.0063
2017-07-28 07:44:00,15981.0,0.0063
2017-07-28 07:45:00,15880.0,0.0175720246352
2017-07-28 07:46:00,15859.0,0.0175720246352
2017-07-28 07:47:00,15870.0,0.0112720246352
2017-07-28 07:48:00,15880.0,0.0112720246352
2017-07-28 07:49:00,15886.0,0.0112720246352
2017-07-28 07:50:00,15961.0,0.0112720246352
2017-07-28 07:51:00,15938.0,0.0112720246352
2017-07-28 07:52:00,15963.0,0.0112720246352
2017-07-28 07:53:00,15972.0,0.0112720246352
2017-07-28 07:54:00,15966.0,0.0112720246352
2017-07-28 07:55:00,16117.0,0.00968483545093
2017-07-28 07:56:00,16118.0,0.00968483545093
2017-07-28 07:57:00,16153.0,0.00968483545093
2017-07-28 07:58:00,16168.0,0.00968483545093
2017-07-28 07:59:00,16171.0,0.00968483545093
2017-07-28 08:00:00,15954.0,0.0
2017-07-28 08:01:00,15935.0,0.0
2017-07-28 08:02:00,15966.0,0.0
2017-07-28 08:03:00,15976.0,0.0
2017-07-28 08:04:00,15997.0,0.0
2017-07-28 08:05:00,16123.0,0.0
2017-07-28 08:06:00,16109.0,0.0
2017-07-28 08:07:00,16119.0,0.0
2017-07-28 08:08:00,16131.0,0.0
2017-07-28 08:09:00,16215.0,0.035
2017-07-28 08:10:00,16214.0,0.035
2017-07-28 08:11:00,16216.0,0.014
2017-07-28 08:12:00,16215.0,0.014
2017-07-28 08:13:00,16239.0,0.014
2017-07-28 08:14:00,16237.0,0.014
2017-07-28 08:15:00,16213.0,0.0246230428002
2017-07-28 08:16:00,16204.0,0.0246230428002
2017-07-28 08:17:00,16208.0,0.0246230428002
2017-07-28 08:18:00,16223.0,0.0246230428002
2017-07-28 08:19:00,16234.0,0.0246230428002
2017-07-28 08:20:00,16301.0,0.0246230428002
2017-07-28 08:21:00,16297.0,0.0106230428002
2017-07-28 08:22:00,16324.0,0.0106230428002
2017-07-28 08:23:00,16339.0,0.0106230428002
2017-07-28 08:24:00,16456.0,0.0322959436492
2017-07-28 08:25:00,16455.0,0.021672900849
2017-07-28 08:26:00,16482.0,0.056672900849
2017-07-28 08:27:00,16481.0,0.056672900849
2017-07-28 08:28:00,16507.0,0.021672900849
2017-07-28 08:29:00,16506.0,0.021672900849
2017-07-28 08:30:00,16279.0,0.0402951423666
2017-07-28 08:31:00,16261.0,0.0302951423666
2017-07-28 08:32:00,16272.0,0.0302951423666
2017-07-28 08:33:00,16280.0,0.0302951423666
2017-07-28 08:34:00,16295.0,0.0186222415176
2017-07-28 08:35:00,16359.0,0.0249222415176
2017-07-28 08:36:00,16355.0,0.0312222415176
2017-07-28 08:37:00,16370.0,0.0312222415176
2017-07-28 08:38:00,16375.0,0.0312222415176
2017-07-28 08:39:00,16420.0,0.0252
2017-07-28 08:40:00,16419.0,0.0126
2017-07-28 08:41:00,16414.0,0.0126
2017-07-28 08:42:00,16412.0,0.0126
2017-07-28 08:43:00,16433.0,0.0126
2017-07-28 08:44:00,16433.0,0.0126
2017-07-28 08:45:00,16378.0,0.0123476946815
2017-07-28 08:46:00,16369.0,0.00604769468148
2017-07-28 08:47:00,16378.0,0.00604769468148
2017-07-28 08:48:00,16387.0,0.00604769468148
2017-07-28 08:49:00,16397.0,0.00604769468148
2017-07-28 08:50:00,16463.0,0.00604769468148
2017-07-28 08:51:00,16466.0,0.00604769468148
2017-07-28 08:52:00,16462.0,0.00604769468148
2017-07-28 08:53:00,16472.0,0.00604769468148
2017-07-28 08:54:00,16557.0,0.00604769468148
2017-07-28 08:55:00,16556.0,0.0
2017-07-28 08:56:00,16588.0,0.007
2017-07-28 08:57:00,16585.0,0.007
2017-07-28 08:58:00,16612.0,0.01575
2017-07-28 08:59:00,16612.0,0.01575
2017-07-28 09:00:00,16244.0,0.0378963923162
2017-07-28 09:01:00,16244.0,0.0378963923162
2017-07-28 09:02:00,16287.0,0.0378963923162
2017-07-28 09:03:00,16304.0,0.0378963923162
2017-07-28 09:04:00,16304.0,0.0378963923162
2017-07-28 09:05:00,16426.0,0.0378963923162
2017-07-28 09:06:00,16419.0,0.0221463923162
2017-07-28 09:07:00,16426.0,0.0221463923162
2017-07-28 09:08:00,16434.0,0.0221463923162
2017-07-28 09:09:00,16439.0,0.0221463923162
2017-07-28 09:10:00,16522.0,0.0
2017-07-28 09:11:00,16527.0,0.0
2017-07-28 09:12:00,16544.0,0.0
2017-07-28 09:13:00,16559.0,0.0
2017-07-28 09:14:00,16576.0,0.0
2017-07-28 09:15:00,16530.0,0.00668483347776
2017-07-28 09:16:00,16537.0,0.00668483347776
2017-07-28 09:17:00,16547.0,0.00668483347776
2017-07-28 09:18:00,16553.0,0.00668483347776
2017-07-28 09:19:00,16559.0,0.00668483347776
2017-07-28 09:20:00,16633.0,0.00668483347776
2017-07-28 09:21:00,16640.0,0.00668483347776
2017-07-28 09:22:00,16647.0,0.00668483347776
2017-07-28 09:23:00,16656.0,0.00668483347776
2017-07-28 09:24:00,16659.0,0.00668483347776
2017-07-28 09:25:00,16717.0,0.0
2017-07-28 09:26:00,16708.0,0.0
2017-07-28 09:27:00,16727.0,0.0
2017-07-28 09:28:00,16732.0,0.0
2017-07-28 09:29:00,16740.0,0.0
2017-07-28 09:30:00,16339.0,0.0167605828224
2017-07-28 09:31:00,16333.0,0.0167605828224
2017-07-28 09:32:00,16351.0,0.0230374677447
2017-07-28 09:33:00,16357.0,0.0230374677447
2017-07-28 09:34:00,16371.0,0.0230374677447
2017-07-28 09:35:00,16453.0,0.0230374677447
2017-07-28 09:36:00,16458.0,0.0230374677447
2017-07-28 09:37:00,16470.0,0.0230374677447
2017-07-28 09:38:00,16480.0,0.0230374677447
2017-07-28 09:39:00,16488.0,0.0230374677447
2017-07-28 09:40:00,16525.0,0.0100320575483
2017-07-28 09:41:00,16536.0,0.0100320575483
2017-07-28 09:42:00,16555.0,0.00375517262599
2017-07-28 09:43:00,16558.0,0.00375517262599
2017-07-28 09:44:00,16550.0,0.00375517262599
2017-07-28 09:45:00,16529.0,0.0183736508841
2017-07-28 09:46:00,16528.0,0.0183736508841
2017-07-28 09:47:00,16530.0,0.0183736508841
2017-07-28 09:48:00,16533.0,0.0183736508841
2017-07-28 09:49:00,16532.0,0.0183736508841
