1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
73,28277223.37,29298100.74,29553320.09,11422076.66,12442954.04,12698173.38,19865222.2,20886099.58,21029271.58,20715132.68,21736010.06,21991229.4,,,,28277223.37,29298100.74,29553320.09,11422076.66,12442954.04,12698173.38,19865222.2,20886099.58,20381971.07,20715132.68,21736010.06,21987577.3
74,28396938.26,29417815.63,29673034.98,11367874.18,12388751.56,12643970.9,19757908.76,20778786.14,20998323.24,20788398.38,21809275.75,22064495.1,,,,28396938.26,29417815.63,29673034.98,11367874.18,12388751.56,12643970.9,19757908.76,20778786.14,20340713.65,20788398.38,21809275.75,22064495.1
75,28567818.02,29588695.39,29843914.74,11376736.26,12397613.64,12652832.98,19669711.99,20690589.37,20945808.71,20944894.73,21965772.1,22207842.19,,,,28567818.02,29588695.39,29843914.74,11376736.26,12397613.64,12652832.98,19669711.99,20690589.37,20287011.71,20944894.73,21965772.1,22196423.68
76,28852793.02,29873670.4,30128889.74,11212229.44,12233106.82,12488326.16,19649008.08,20669885.45,20894844.23,21072393.94,22093271.32,22329138.14,,,,28852793.02,29873670.4,30128889.74,11212229.44,12233106.82,12488326.16,19649008.08,20669885.45,20220865.25,21072393.94,22093271.32,22317719.63
77,29084124.86,30105002.23,30360221.57,11081094.96,12101972.33,12357191.68,19587239.36,20608116.73,20822313.56,21152286.23,22173163.6,22428382.94,,,,29084124.86,30105002.23,30360221.57,11081094.96,12101972.33,12357191.68,19587239.36,20608116.73,20142274.28,21152286.23,22173163.6,22428382.94
78,29341963.5,30362840.87,30618060.21,10919845.42,11940722.8,12195942.14,19513092.74,20533970.11,20728216.71,21332711.38,22353588.75,22600142.19,,,,29341963.5,30362840.87,30618060.21,10919845.42,11940722.8,12195942.14,19513092.74,20533970.11,20051238.8,21332711.38,22353588.75,22594432.94
79,29528811.01,30549688.38,30804907.72,10824706.52,11845583.9,12100803.24,19336456.95,20357334.33,20612553.67,21473753.59,22494630.96,22749850.31,,,,29528811.01,30549688.38,30804907.72,10824706.52,11845583.9,12100803.24,19336456.95,20357334.33,19947758.79,21473753.59,22494630.96,22749850.31
80,29762649.49,30783526.86,31038746.21,10712640.79,11733518.17,11988737.51,19281655.62,20302533,20531642.37,21704128.76,22725006.13,22912369.29,,,,29762649.49,30783526.86,31038746.21,10712640.79,11733518.17,11988737.51,19281655.62,20302533,19831834.27,21704128.76,22725006.13,22932537.61
81,29939179.44,30960056.81,31215276.16,10634882.15,11655759.53,11910978.87,19153068.17,20173945.54,20429164.89,21903733.24,22924610.62,23052837.13,,,,29939179.44,30960056.81,31215276.16,10634882.15,11655759.53,11910978.87,19153068.17,20173945.54,19703465.24,21903733.24,22924610.62,23104592.28
82,30058700.53,31079577.91,31334797.25,10751468.8,11772346.17,12027565.52,19074328.36,20095205.73,20307801.41,22156609.69,23177487.07,23171253.83,,,,30058700.53,31079577.91,31334797.25,10751468.8,11772346.17,12027565.52,19074328.36,20095205.73,19562651.68,22156609.69,23177487.07,23266014.31
83,30217326.77,31238204.14,31493423.49,10745523.53,11766400.91,12021620.25,18960982.08,19981859.46,20164871.74,22475496.1,23496373.47,23267619.4,,,,30217326.77,31238204.14,31493423.49,10745523.53,11766400.91,12021620.25,18960982.08,19981859.46,19409393.62,22475496.1,23496373.47,23416803.72
84,30233038.27,31253915.65,31509134.99,10569936.47,11590813.85,11846033.19,18789575.72,19810453.09,20000375.89,22715924.95,23736802.33,23341933.82,,,,30233038.27,31253915.65,31509134.99,10569936.47,11590813.85,11846033.19,18789575.72,19810453.09,19243691.03,22715924.95,23736802.33,23556960.49
85,30143813.42,31164690.79,31419910.14,10348985.48,11369862.86,11625082.2,18606894.22,19627771.59,19814313.86,22930362.34,23951239.72,23394197.1,,,,30143813.42,31164690.79,31419910.14,10348985.48,11369862.86,11625082.2,18606894.22,19627771.59,19065543.93,22930362.34,23951239.72,23686484.62
86,29853423.08,30874300.46,31129519.8,10169673.93,11190551.3,11445770.64,18487518.61,19508395.99,19606685.65,23261246.83,24282124.21,23424409.25,,,,29853423.08,30874300.46,31129519.8,10169673.93,11190551.3,11445770.64,18487518.61,19508395.99,18874952.31,23261246.83,24282124.21,23805376.13
87,29722954.33,30743831.71,30999051.05,9969507.351,10990384.73,11245604.07,18307391.67,19328269.04,19377491.25,23489800.84,24510678.22,23432570.25,,,,29722954.33,30743831.71,30999051.05,9969507.351,10990384.73,11245604.07,18307391.67,19328269.04,18671916.18,23489800.84,24510678.22,23913634.99
