1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
103,14273468.96,15294346.33,15804785.02,15549565.68,15804785.02,15549565.68,,,14817936.89,15090170.86,14954053.88,15090170.86,15090170.86,,,14409585.94,14477644.43,14443615.19,14477644.43,14443615.19
104,14124585.86,15145463.24,15655901.93,15400682.58,15655901.93,15400682.58,,,14669053.8,14941287.76,14805170.78,14941287.76,14941287.76,,,14260702.85,14328761.34,14294732.09,14328761.34,14294732.09
105,13942662.51,14963539.88,15473978.57,15218759.23,15473978.57,15218759.23,,,14487130.44,14759364.41,14623247.43,14759364.41,14759364.41,,,14078779.49,14146837.98,14112808.74,14146837.98,14112808.74
106,13978052.13,14998929.5,15509368.19,15254148.85,15509368.19,15254148.85,,,14522520.06,14794754.03,14658637.04,14794754.03,14794754.03,,,14114169.11,14182227.6,14148198.36,14182227.6,14148198.36
107,13892551.04,14913428.42,15423867.11,15168647.76,15423867.11,15168647.76,,,14437018.98,14709252.94,14573135.96,14709252.94,14709252.94,,,14028668.03,14096726.52,14062697.27,14096726.52,14062697.27
108,13825667.14,14846544.52,15356983.2,15101763.86,15356983.2,15101763.86,,,14370135.07,14642369.04,14506252.06,14642369.04,14642369.04,,,13961784.12,14029842.62,13995813.37,14029842.62,13995813.37
109,13748510.02,14769387.39,15279826.08,15024606.74,15279826.08,15024606.74,,,14292977.95,14565211.92,14429094.93,14565211.92,14565211.92,,,13884627,13952685.49,13918656.25,13952685.49,13918656.25
110,13762549.06,14783426.44,15293865.13,15038645.78,15293865.13,15038645.78,,,14307017,14579250.96,14443133.98,14579250.96,14579250.96,,,13898666.05,13966724.54,13932695.29,13966724.54,13932695.29
111,13750754.87,14771632.25,15282070.94,15026851.59,15282070.94,15026851.59,,,14295222.81,14567456.77,14431339.79,14567456.77,14567456.77,,,13886871.86,13954930.35,13920901.1,13954930.35,13920901.1
112,13694652.26,14715529.64,15225968.32,14970748.98,15225968.32,14970748.98,,,14239120.19,14511354.16,14375237.18,14511354.16,14511354.16,,,13830769.24,13898827.73,13864798.49,13898827.73,13864798.49
113,13759735.23,14780612.6,15291051.29,15035831.94,15291051.29,15035831.94,,,14304203.16,14576437.13,14440320.14,14576437.13,14576437.13,,,13895852.21,13963910.7,13929881.45,13963910.7,13929881.45
114,13755115.62,14775993,15286431.68,15031212.34,15286431.68,15031212.34,,,14299583.55,14571817.52,14435700.54,14571817.52,14571817.52,,,13891232.6,13959291.09,13925261.85,13959291.09,13925261.85
115,13850806.38,14871683.76,15382122.45,15126903.1,15382122.45,15126903.1,,,14395274.32,14667508.29,14531391.3,14667508.29,14667508.29,,,13986923.37,14054981.86,14020952.61,14054981.86,14020952.61
116,13900101.54,14920978.92,15431417.6,15176198.26,15431417.6,15176198.26,,,14444569.47,14716803.44,14580686.46,14716803.44,14716803.44,,,14036218.52,14104277.02,14070247.77,14104277.02,14070247.77
117,13958042.83,14978920.2,15489358.89,15234139.55,15489358.89,15234139.55,,,14502510.76,14774744.73,14638627.74,14774744.73,14774744.73,,,14094159.81,14162218.3,14128189.06,14162218.3,14128189.06
118,13978456.39,14999333.77,15509772.46,15254553.11,15509772.46,15254553.11,,,14522924.33,14795158.29,14659041.31,14795158.29,14795158.29,,,14114573.38,14182631.87,14148602.62,14182631.87,14148602.62
119,14057168.22,15078045.6,15588484.29,15333264.94,15588484.29,15333264.94,,,14601636.16,14873870.12,14737753.14,14873870.12,14873870.12,,,14193285.21,14261343.7,14227314.45,14261343.7,14227314.45
120,14007485.89,15028363.26,15538801.95,15283582.61,15538801.95,15283582.61,,,14551953.82,14824187.79,14688070.8,14824187.79,14824187.79,,,14143602.87,14211661.36,14177632.12,14211661.36,14177632.12
121,14109572.98,15130450.36,15640889.05,15385669.7,15640889.05,15385669.7,,,14654040.92,14926274.88,14790157.9,14926274.88,14926274.88,,,14245689.97,14313748.46,14279719.21,14313748.46,14279719.21
